package,url,subdir,registry
AATtools,https://github.com/spiritspeak/aattools,,
ABACUS,https://github.com/bio-statistics/abacus,,
abbreviate,https://github.com/sigbertklinke/abbreviate,,
abclass,https://github.com/wenjie2wang/abclass,,
ABCoptim,https://github.com/gvegayon/abcoptim,,
abcrf,https://github.com/jmm34/abcrf,,
abctools,https://github.com/dennisprangle/abctools,,
abd,https://github.com/middleton-lab/abd,,
abdiv,https://github.com/kylebittinger/abdiv,,
aberrance,https://github.com/kyliegorney/aberrance,,
abglasso,https://github.com/jarod-smithy/abglasso,,
ABHgenotypeR,https://github.com/stefanreuscher/abhgenotyper,,
abjData,https://github.com/abjur/abjdata,,
abjutils,https://github.com/abjur/abjutils,,
ABM,https://github.com/junlingm/abm,,
abn,https://github.com/furrer-lab/abn,,
abnormality,https://github.com/mmarks13/abnormality,,
abodOutlier,https://github.com/josejimenezluna/abodoutlier,,
abseil,https://github.com/doccstat/abseil-r,,
abseqR,https://github.com/malhamdoosh/abseqr,,bioc
abstr,https://github.com/a-b-street/abstr,,
AcademicThemes,https://github.com/hwarden162/academicthemes,,
academictwitteR,https://github.com/cjbarrie/academictwitter,,
accelerometry,https://github.com/vandomed/accelerometry,,
AccelStab,https://github.com/accelstab/accelstab,,
accept,https://github.com/resplab/accept,,
AcceptanceSampling,https://github.com/andreaskiermeier/acceptancesampling,,
AcceptReject,https://github.com/prdm0/acceptreject,,
accessibility,https://github.com/ipeagit/accessibility,,
accessr,https://github.com/paulnorthrop/accessr,,
accrualPlot,https://github.com/ctu-bern/accrualplot,,
accSDA,https://github.com/gumeo/accsda,,
accucor,https://github.com/xiaoyangsu/accucor,,
accumulate,https://github.com/markvanderloo/accumulate,pkg,
acdcquery,https://github.com/slesche/acdc-query,,
acdcR,https://github.com/ysd2004/acdcr,,
ACE,https://github.com/tgac-vumc/ace,,bioc
ace2fastq,https://github.com/c5sire/ace2fastq,,
aceEditor,https://github.com/stla/aceeditor,,
ACEP,https://github.com/agusnieto77/acep,,
ACEt,https://github.com/lhe17/acet,,
acfMPeriod,https://github.com/rogih/acfmperiod,,
acled.api,https://gitlab.com/chris-dworschak/acled.api,,
ACNE,https://github.com/henrikbengtsson/acne,,
acnr,https://github.com/mpierrejean/acnr,,
AcousticNDLCodeR,https://github.com/denis-arnold/acousticndlcoder,,
acro,https://github.com/ai-sdc/acro-r,,
acroname,https://github.com/vpnagraj/acroname,,
act,https://github.com/oliverehmer/act,,
ActCR,https://github.com/junruidi/actcr,,
actel,https://github.com/hugomflavio/actel,,
ActFrag,https://github.com/junruidi/actfrag,,
actilifecounts,https://github.com/jhmigueles/actilifecounts,,
activAnalyzer,https://github.com/pydemull/activanalyzer,,
activatr,https://github.com/dschafer/activatr,,
ActivePathways,https://github.com/reimandlab/activepathways,,
activity,https://github.com/marcusrowcliffe/activity,,
actLifer,https://github.com/g-rade/actlifer,,
actogrammr,https://github.com/rcorty/actogrammr,,
actxps,https://github.com/mattheaphy/actxps,,
AcuityView,https://github.com/eleanorcaves/acuityview,,
ACV,https://github.com/stanek-fi/acv,,
ACWR,https://github.com/jorgedelro/acwr,,
ADaCGH2,https://github.com/rdiaz02/adacgh2,ADaCGH2,bioc
adaHuber,https://github.com/xiaooupan/adahuber,,
ADAMgui,https://github.com/jrybarczyk/adamgui,,bioc
adaptalint,https://github.com/maxconway/adaptalint,,
adaptDiag,https://github.com/graemeleehickey/adaptdiag,,
AdaptGauss,https://github.com/mthrun/adaptgauss,,
adaptiveGPCA,https://github.com/jfukuyama/adaptivegpca,,
adaptivetau,https://github.com/plfjohnson/adaptivetau,,
adaptIVPT,https://github.com/daeyounglim/adaptivpt,,
adaptMCMC,https://github.com/scheidan/adaptmcmc,adaptMCMC,
adaptMT,https://github.com/lihualei71/adaptmt,,
adaptr,https://github.com/inceptdk/adaptr,,
ADAPTS,https://github.com/sdanzige/adapts,,
adaR,https://github.com/gesistsa/adar,,
AdaSampling,https://github.com/pyanglab/adasampling,,
adass,https://github.com/unina-sfere/adass,,
adbcdrivermanager,https://github.com/apache/arrow-adbc,r/adbcdrivermanager,
adbcpostgresql,https://github.com/apache/arrow-adbc,r/adbcpostgresql,
adbcsqlite,https://github.com/apache/arrow-adbc,r/adbcsqlite,
adbi,https://github.com/r-dbi/adbi,,
adc,https://github.com/txwri/adc,,
ADCT,https://github.com/allenzhuaz/adct,,
add2ggplot,https://github.com/jiaxiangbu/add2ggplot,,
addhazard,https://github.com/katehu/addhazard,,
addinslist,https://github.com/daattali/addinslist,,
addinsOutline,https://github.com/calote/addinsoutline,,
additive,https://github.com/hsbadr/additive,,
additivityTests,https://github.com/simecek/additivitytests,,
addreg,https://github.com/mdonoghoe/addreg,,
adductomicsR,https://github.com/josielhayes/adductomicsr,,bioc
ade4,https://github.com/adeverse/ade4,,
ade4TkGUI,https://github.com/adeverse/ade4tkgui,,
adegenet,https://github.com/thibautjombart/adegenet,,
adegraphics,https://github.com/adeverse/adegraphics,,
adehabitatHR,https://github.com/clementcalenge/adehabitathr,,
adehabitatHS,https://github.com/clementcalenge/adehabitaths,,
adehabitatLT,https://github.com/clementcalenge/adehabitatlt,,
adehabitatMA,https://github.com/clementcalenge/adehabitatma,,
adelie,https://github.com/jamesyang007/adelie-r,,
adephylo,https://github.com/adeverse/adephylo,,
adepro,https://github.com/bayer-group/bic-adepro,,
adept,https://github.com/martakarass/adept,,
adeptdata,https://github.com/martakarass/adeptdata,,
AdequacyModel,https://github.com/prdm0/adequacymodel,,
adespatial,https://github.com/adeverse/adespatial,,
adestr,https://github.com/jan-imbi/adestr,,
adfExplorer,https://github.com/pepijn-devries/adfexplorer,,
adheRenceRX,https://github.com/btbeal/adherencerx,,
AdhereR,https://github.com/ddediu/adherer,AdhereR,
AdhereRViz,https://github.com/ddediu/adherer,AdhereRViz,
ADImpute,https://github.com/anacarolinaleote/adimpute,,bioc
adjclust,https://github.com/pneuvial/adjclust,,
adjROC,https://github.com/haghish/adjroc,,
adjustedcranlogs,https://github.com/tylermorganwall/adjustedcranlogs,,
adjustedCurves,https://github.com/robindenz1/adjustedcurves,,
adklakedata,https://github.com/lawinslow/adklakedata,,
admiral,https://github.com/pharmaverse/admiral,,
admiraldev,https://github.com/pharmaverse/admiraldev,,
admiralonco,https://github.com/pharmaverse/admiralonco,,
admiralophtha,https://github.com/pharmaverse/admiralophtha,,
admiralpeds,https://github.com/pharmaverse/admiralpeds,,
admiralvaccine,https://github.com/pharmaverse/admiralvaccine,,
admisc,https://github.com/dusadrian/admisc,,
AdMit,https://github.com/ardiad/admit,,
admix,https://github.com/xaviermilhaud/admix,,
admixr,https://github.com/bodkan/admixr,,
ADMM,https://github.com/kisungyou/admm,,
ADMMsigma,https://github.com/mgallow/admmsigma,,
admtools,https://github.com/mindthegap-erc/admtools,,
ADMUR,https://github.com/ucl/admur,,
adnuts,https://github.com/cole-monnahan-noaa/adnuts,,
adobeanalyticsr,https://github.com/sditools/adobeanalyticsr,,
adoptr,https://github.com/optad/adoptr,,
ADPclust,https://github.com/ethanyxu/adpclust,,
adproclus,https://github.com/henry-heppe/adproclus,,
adpss,https://github.com/ca4wa/r-adpss,,
adventr,https://github.com/profandyfield/adventr,,
adw,https://github.com/panfengzhang/adw,,
