package,owner
A3,scottfr
a4,lcougnaud
a4Base,lcougnaud
a4Classif,lcougnaud
a4Core,lcougnaud
a4Preproc,lcougnaud
a4Reporting,lcougnaud
AalenJohansen,cran
AATtools,spiritspeak
ABACUS,bio-statistics
ABarray,bioc
abasequence,cran
abbreviate,sigbertklinke
abbyyR,gojiplus
abc,mblumuga
abc.data,cran
ABC.RAP,cran
ABCanalysis,cran
abclass,wenjie2wang
ABCoptim,gvegayon
ABCp2,mcduryea
abcrf,jmm34
abcrlda,cran
abctools,dennisprangle
abd,middleton-lab
abdiv,kylebittinger
abe,rokblagus
abess,mamba413
abglasso,jarod-smithy
ABHgenotypeR,stefanreuscher
abind,tplate
abjData,abjur
abjutils,abjur
ABM,junlingm
abmR,workshop-brg
abn,matteodelucchi
abnormality,mmarks13
abodOutlier,josejimenezluna
ABPS,fredericschutz
abseqR,malhamdoosh
ABSSeq,bioc
abstr,a-b-street
abstractr,mattkumar
ABSurvTDC,hardikghosh911
abtest,quentingronau
abundant,cran
Ac3net,altayg
ACA,cran
AcademicThemes,hwarden162
academictwitteR,cjbarrie
acc,cran
acca,cran
accelerometry,vandomed
accelmissing,jungaeleeb
accept,resplab
AcceptanceSampling,andreaskiermeier
accessibility,ipeagit
accessrmd,r-leyshon
accrual,cran
accrualPlot,ctu-bern
accSDA,gumeo
accucor,xiaoyangsu
accumulate,markvanderloo
acdcR,ysd2004
acde,bioc
ACDm,cran
ACE,tgac-vumc
ACE.CoCo,cran
ace2fastq,c5sire
acebayes,amo105
aceEditor,stla
ACEP,agusnieto77
acepack,spgarbet
ACEsearch,podalv
ACEsimFit,xuanyu-lyu
ACEt,lhe17
acfMPeriod,rogih
aCGH,bioc
Achilles,fdefalco
acid,cran
acled.api,chris-dworschak
ACME,bioc
ACNE,henrikbengtsson
acnr,mpierrejean
acopula,cran
AcousticNDLCodeR,denis-arnold
acp,cran
acroname,vpnagraj
AcrossTic,buttrey
acrt,cran
acs,eglenn
acss,cran
acss.data,singmann
ACSWR,prabhanjan-tattar
act,oliverehmer
ACTCD,wenchao-ma
ActCR,junruidi
actel,hugomflavio
ActFrag,junruidi
actilifecounts,jhmigueles
activAnalyzer,pydemull
activatr,dschafer
ActiveDriver,reimand0
ActiveDriverWGS,reimand0
activegp,cran
ActivePathways,reimandlab
activity,marcusrowcliffe
activityGCMM,cran
ActivityIndex,cran
activPAL,craig-pal
actogrammr,rcorty
actuar,vigou3
actuaRE,bavodc
ActuarialM,imranshakoor
actuaryr,zchmielewska
actxps,mattheaphy
AcuityView,eleanorcaves
acumos,sambaala
ACV,stanek-fi
ACWR,jorgedelro
ada,mvculp
adabag,esteban-alfaro
ADaCGH2,rdiaz02
adagio,hwborchers
adaHuber,xiaooupan
ADAM,bioc
adamethods,cran
ADAMgui,jrybarczyk
adana,cran
AdapSamp,keydom
adapt4pv,cran
adaptalint,maxconway
adaptDiag,graemeleehickey
AdaptGauss,mthrun
adaptiveGPCA,jfukuyama
AdaptiveSparsity,cran
adaptivetau,plfjohnson
adaptIVPT,daeyounglim
adaptMCMC,scheidan
adaptMT,lihualei71
adaptr,inceptdk
ADAPTS,sdanzige
adaptsmoFMRI,cran
adaptTest,marcvdmb
AdaSampling,pyanglab
adbcdrivermanager,paleolimbot
adc,txwri
ADCT,allenzhuaz
add2ggplot,jiaxiangbu
addhaz,renatayokota
addhazard,katehu
