package,registry,owner
A3,cran,scottfr
a4,bioc,lcougnaud
a4Base,bioc,lcougnaud
a4Classif,bioc,lcougnaud
a4Core,bioc,lcougnaud
a4Preproc,bioc,lcougnaud
a4Reporting,bioc,lcougnaud
AalenJohansen,cran,
ABarray,bioc,
abc,cran,mblumuga
abc.data,cran,
ABC.RAP,cran,
ABCanalysis,cran,
ABCp2,cran,mcduryea
abcrlda,cran,
abe,cran,rokblagus
abess,cran,mamba413
abind,cran,tplate
abmR,cran,workshop-brg
abn,cran,matteodelucchi
ABPS,cran,fredericschutz
ABSSeq,bioc,
abstractr,cran,mattkumar
ABSurvTDC,cran,hardikghosh911
abtest,cran,quentingronau
abundant,cran,
Ac3net,cran,altayg
ACA,cran,
acc,cran,
acca,cran,
accelmissing,cran,jungaeleeb
accessrmd,cran,r-leyshon
accrual,cran,
acde,bioc,
ACDm,cran,
acebayes,cran,amo105
acepack,cran,spgarbet
ACEsearch,cran,podalv
ACEsimFit,cran,xuanyu-lyu
aCGH,bioc,
Achilles,cran,fdefalco
acid,cran,
ACME,bioc,
acopula,cran,
acp,cran,
AcrossTic,cran,buttrey
acrt,cran,
acs,cran,eglenn
acss,cran,
acss.data,cran,singmann
ACSWR,cran,prabhanjan-tattar
ACTCD,cran,wenchao-ma
ActiveDriver,cran,reimand0
ActiveDriverWGS,cran,reimand0
activegp,cran,
activityGCMM,cran,
ActivityIndex,cran,
activPAL,cran,craig-pal
actuar,cran,vigou3
actuaRE,cran,bavodc
ActuarialM,cran,imranshakoor
actuaryr,cran,zchmielewska
acumos,cran,sambaala
ada,cran,mvculp
adabag,cran,esteban-alfaro
adagio,cran,hwborchers
ADAM,bioc,
adamethods,cran,
adana,cran,
AdapSamp,cran,keydom
adapt4pv,cran,
AdaptiveSparsity,cran,
adaptivetau,cran,plfjohnson
adaptsmoFMRI,cran,
adaptTest,cran,marcvdmb
adbcdrivermanager,cran,paleolimbot
addhaz,cran,renatayokota
addinsJoaoMelo,cran,pjoao266
additiveDEA,cran,
addScales,cran,
ADDT,cran,yili-hong
adea,cran,mmm-uca
adephylo,cran,sdray
adepro,cran,
ADER,cran,
adformR,cran,pablosanmar
ADGofTest,cran,cjgb
adimpro,cran,
adiv,cran,sandrinepavoine
adjSURVCI,cran,mkhanal12
adlift,cran,
admiral.test,cran,bms63
admmDensestSubmatrix,cran,pbombina
ADMMnet,cran,
ADP,cran,
ADPF,cran,samdkruse
ads,cran,pelissie
adsDataHubR,cran,pankaj-bhatlawande
adSplit,bioc,
AdvancedBasketballStats,cran,
AdvBinomApps,cran,
AdvDif4,cran,jaderlugon
adverSCarial,bioc,
ADVICE,cran,
adwave,cran,mpcox
adwordsR,cran,
AEDForecasting,cran,apunatto
AEP,cran,mahditeimouri
AER,cran,zeileis
AeRobiology,cran,oteros
AF,cran,
afc,cran,
AFFECT,cran,meintraumus
AffiXcan,bioc,
affluenceIndex,cran,
affy,bioc,
affycomp,bioc,
affyContam,bioc,vjcitn
affycoretools,bioc,
affyILM,bioc,
affylmGUI,bioc,gksmyth
AffyRNADegradation,bioc,
AFheritability,cran,
AFM,cran,mbeauvai
afmToolkit,cran,
AFR,cran,afrkz
africamonitor,cran,sebkrantz
afthd,cran,atanubhattacharjee
AGDEX,bioc,
ageg,cran,nobilisvenator
agena.ai,cran,
agfh,cran,martenthompson
agghoo,cran,
AggregateR,cran,
aggregation,cran,lynnyi
aghq,cran,
agilp,bioc,
AgiMicroRna,bioc,
agRee,cran,daifengstat
AgreementInterval,cran,jialinx007
agricolae,cran,
agrifeature,cran,
agriTutorial,cran,rned
AgroR,cran,agronomiar
AgroReg,cran,agronomiar
agrostab,cran,
AgroTech,cran,rmarubayashi
agtboost,cran,blunde1
ahaz,cran,agorstras
AHM,cran,vtshen
ahMLE,cran,
AHPhybrid,cran,miguellellis
AHPtools,cran,amarnathbose
ahptopsis2n,cran,raqueldourado
AHPWR,cran,lucianea
AHSurv,cran,abdisalammuse
ahw,cran,palryalen
aibd,cran,dbdahl
AICcmodavg,cran,mamaz7
AID,cran,osmandag
aidar,cran,
aides,cran,enochkang
aif360,cran,ssaishruthi
AIMS,bioc,
airGR,cran,
airGRdatasets,cran,
airGRdatassim,cran,
airGRteaching,cran,
airr,cran,javh
aiRthermo,cran,
aisoph,cran,yunrochung
Ake,cran,wanbitching
akima,cran,
akmbiclust,cran,lizichao7
alabama,cran,rvaradhan
alabaster,bioc,
alabaster.base,bioc,
alabaster.bumpy,bioc,
alabaster.mae,bioc,
alabaster.matrix,bioc,
alabaster.ranges,bioc,
alabaster.sce,bioc,
alabaster.schemas,bioc,
alabaster.se,bioc,
alabaster.spatial,bioc,
alabaster.string,bioc,
alabaster.vcf,bioc,
ALassoSurvIC,cran,pakdaewo
albatross,cran,
ald,cran,chedgala
ALEPlot,cran,dapley
aLFQ,cran,grosenberger
algaeClassify,cran,vppatil
AlgebraicHaploPackage,cran,
align,cran,
alleHap,cran,
allelematch,cran,noreastermt
AlleleRetain,cran,elweiser
AlleleShift,cran,
AllelicSeries,cran,zmccaw-insitro
allestimates,cran,uqwang
AllMetrics,cran,sandipgarai
allomr,cran,ziegenknauff
Allspice,cran,
alpha.correction.bh,cran,
AlphaBeta,bioc,
alphaOutlier,cran,
AlphaPart,cran,
alphashape3d,cran,beatrizpateiro
alphastable,cran,mahditeimouri
alqrfe,cran,iandanilevicz
alr4,cran,sanfordweisberg
ALS,cran,k-m-m
ALSCPC,cran,
altcdfenvs,bioc,
AlteredPQR,cran,
altmeta,cran,linlf
ALTopt,cran,robustsource
amanpg,cran,
amap,cran,antoinelucas64
AMARETTO,bioc,
amazonadsR,cran,pablosanmar
amazons3R,cran,pablosanmar
amazonspR,cran,pablosanmar
ambhasGW,cran,
ambit,cran,almutveraart
Amelia,cran,mattblackwell
AmericanCallOpt,cran,
AmigaFFH,cran,
ammiBayes,cran,
AMModels,cran,
AmmoniaConcentration,cran,tumenas
aMNLFA,cran,vtcole
AmoudSurv,cran,abdisalammuse
AMOUNTAIN,bioc,
ampd,cran,
AmpliconDuo,cran,anla8000
anabel,cran,
analyzer,cran,apxr
anapuce,cran,julieaubert
Anaquin,bioc,
AncestryMapper,cran,eoh-gh
anesrake,cran,jmping
ANF,bioc,
aniDom,cran,
animalEKF,cran,sam-data-guy-iam
AnimalHabitatNetwork,cran,
animl,cran,
anipaths,cran,henryrscharf
annaffy,bioc,
annotate,bioc,
AnnotationHubData,bioc,
annotationTools,bioc,
annotator,cran,
anocva,cran,macielcalebe
anomaly,cran,
anota,bioc,
anota2seq,bioc,
ANOVAIREVA,cran,kartikeyabolar
ANOVAShiny,cran,kartikeyabolar
ANOVAShiny2,cran,kartikeyabolar
anovir,cran,philipagnew
AntAngioCOOL,cran,
anthroplus,cran,dirkschumacher
Anthropometry,cran,
AntibodyTiters,cran,hkatomed
AnVIL,bioc,mtmorgan
AnVILPublish,bioc,mtmorgan
aod,cran,
aods3,cran,
aopdata,cran,rafapereirabr
Aoptbdtvc,cran,doer0
AOV1R,cran,laustep
AovBay,cran,javierrojasc
apache.sedona,cran,
apc,cran,
APCanalysis,cran,ardenewan
aPCoA,cran,yushushi
apComplex,bioc,
apdesign,cran,
apeglm,bioc,
APFr,cran,nmargaritella
APfun,cran,andrew-plowright
APIS,cran,
APL,bioc,
aplpack,cran,
APML0,cran,leesprite
apng,cran,
apollo,cran,
APPEstimation,cran,eisuke-inoue
appleadsR,cran,pablosanmar
appnn,cran,carlosfamilia
appreci8R,bioc,
approximator,cran,robinhankin
approxmatch,cran,
appsflyeR,cran,pablosanmar
apt,cran,
APtools,cran,hengruicai
apTreeshape,cran,
AQLSchemes,cran,johnjsl7
AQuadtree,cran,raymondlagonigro
AquaEnv,cran,karlines
AR,cran,
arabicStemR,cran,nielsenrich
arakno,cran,
ArchaeoChron,cran,philippe-a
ArchaeoPhases.dataset,cran,philippe-a
archdata,cran,d-carlson
archetypal,cran,dchristop
archetypes,cran,mjaeugster
arcpullr,cran,
ArDec,cran,susanabarbosa
ardl.nardl,cran,eiotoakhia
areabiplot,cran,albertoosilva
argo,cran,shihao-yang
argosfilter,cran,
argus,cran,hormannw
ARIbrain,cran,
